,alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
1213,10.5,13.0,0.38,9.6,1.9,0.071,5.0,3.15,0.75,0.42,0.99659
1456,10.55,89.0,0.54,6.0,1.8,0.05,38.0,3.3,0.5,0.06,0.99236
518,11.7,32.0,0.21,10.9,2.8,0.088,11.0,3.22,0.68,0.49,0.9972
908,10.8,61.0,0.52,7.4,2.4,0.078,34.0,3.43,0.59,0.13,0.99528
1525,9.7,34.0,0.48,6.7,2.1,0.064,18.0,3.33,0.64,0.08,0.99552
705,9.9,54.0,1.035,8.4,6.0,0.073,11.0,3.37,0.49,0.15,0.999
1066,12.5,26.0,0.52,6.6,2.4,0.07,13.0,3.4,0.72,0.08,0.99358
1064,11.8,10.0,0.74,8.2,2.0,0.067,5.0,3.28,0.57,0.09,0.99418
1201,11.2,10.0,0.34,7.9,1.9,0.065,5.0,3.27,0.54,0.36,0.99419
1108,9.5,13.0,0.78,8.1,3.3,0.09,4.0,3.36,0.49,0.1,0.99855
777,10.3,18.0,0.635,6.9,2.4,0.241,6.0,3.4,0.59,0.17,0.9961
1283,10.2,69.0,0.63,8.7,2.7,0.096,17.0,3.26,0.63,0.28,0.99734
1598,11.0,42.0,0.31,6.0,3.6,0.067,18.0,3.39,0.66,0.47,0.99549
419,9.9,52.0,0.77,6.8,1.8,0.066,34.0,3.62,0.68,0.0,0.9976
1370,9.2,66.0,0.78,8.7,1.7,0.415,12.0,3.0,1.17,0.51,0.99623
824,10.3,16.0,0.48,7.1,2.8,0.068,6.0,3.24,0.53,0.28,0.99682
985,11.3,11.0,0.58,7.4,2.0,0.064,7.0,3.45,0.58,0.0,0.99562
3,9.8,60.0,0.28,11.2,1.9,0.075,17.0,3.16,0.58,0.56,0.998
995,10.1,41.0,0.6,7.7,2.0,0.079,19.0,3.39,0.62,0.06,0.99697
1079,12.3,278.0,0.3,7.9,8.3,0.05,37.5,3.01,0.51,0.68,0.99316
47,9.5,37.0,0.29,8.7,1.6,0.113,12.0,3.25,0.58,0.52,0.9969
767,9.5,98.0,0.6,7.5,2.7,0.103,13.0,3.45,0.62,0.32,0.99938
1228,13.6,88.0,0.42,5.1,1.8,0.044,18.0,3.68,0.73,0.0,0.99157
732,9.6,19.0,0.835,7.3,2.1,0.092,10.0,3.39,0.47,0.03,0.9966
1573,12.5,50.0,0.58,6.0,2.4,0.075,15.0,3.58,0.67,0.2,0.99467
809,10.3,15.0,0.48,7.6,2.8,0.07,4.0,3.22,0.55,0.31,0.99693
324,9.2,50.0,0.49,10.0,11.0,0.071,13.0,3.16,0.69,0.2,1.0015
1398,10.2,28.0,0.6,7.0,2.2,0.083,13.0,3.52,0.62,0.12,0.9966
932,9.5,66.0,0.4,7.6,1.9,0.078,29.0,3.45,0.59,0.29,0.9971
907,11.5,9.0,0.56,6.1,2.2,0.079,6.0,3.59,0.54,0.0,0.9948
193,9.7,28.0,0.55,7.6,2.2,0.071,7.0,3.28,0.55,0.21,0.9964
1037,9.2,56.0,0.91,7.3,1.8,0.074,20.0,3.35,0.56,0.1,0.99672
1051,9.2,45.0,0.46,8.5,1.4,0.414,16.0,3.03,1.34,0.59,0.99702
1007,11.7,25.0,0.3,9.1,2.0,0.064,12.0,3.26,0.84,0.34,0.99516
533,12.8,33.0,0.27,10.3,2.1,0.072,15.0,3.22,0.66,0.24,0.9956
1123,11.2,29.0,0.4,10.7,1.9,0.081,17.0,3.12,0.65,0.37,0.99674
715,9.2,34.0,0.49,7.2,2.7,0.069,13.0,3.29,0.48,0.18,0.9967
1433,10.1,25.0,0.4,6.1,1.8,0.069,11.0,3.42,0.74,0.16,0.9955
311,9.4,105.0,0.53,7.9,2.0,0.072,15.0,3.27,0.54,0.24,0.996
610,9.2,57.0,0.24,8.8,2.5,0.083,25.0,3.39,0.54,0.54,0.9983
889,9.3,99.0,0.9,10.7,6.6,0.112,23.0,3.22,0.68,0.34,1.00289
649,11.3,148.0,0.42,6.7,8.6,0.068,24.0,3.16,0.57,0.27,0.9948
432,12.8,24.0,0.37,11.9,2.3,0.078,12.0,3.0,0.65,0.69,0.9958
903,10.8,18.0,0.59,6.8,6.0,0.06,11.0,3.41,0.59,0.06,0.9962
34,9.2,50.0,0.32,5.2,1.8,0.103,13.0,3.38,0.55,0.25,0.9957
980,10.5,17.0,0.5,9.1,1.9,0.065,8.0,3.32,0.71,0.3,0.99774
1417,12.1,37.0,0.34,7.3,2.5,0.064,21.0,3.35,0.77,0.33,0.9952
690,10.7,14.0,1.185,7.4,4.25,0.097,5.0,3.63,0.54,0.0,0.9966
561,9.2,121.0,0.44,9.0,2.4,0.078,26.0,3.23,0.58,0.49,0.9978
628,9.3,31.0,0.54,8.7,2.5,0.097,7.0,3.27,0.6,0.26,0.9976
1003,12.8,8.0,0.36,6.8,1.8,0.067,4.0,3.36,0.55,0.32,0.9928
634,9.5,102.0,0.35,7.9,1.9,0.073,46.0,3.27,0.58,0.21,0.9964
24,9.7,40.0,0.4,6.9,2.4,0.085,21.0,3.43,0.63,0.14,0.9968
1022,10.5,9.0,0.51,7.0,2.1,0.062,4.0,3.35,0.54,0.09,0.99584
1138,9.1,94.0,0.41,7.5,3.7,0.104,29.0,3.14,0.58,0.15,0.99786
373,9.2,72.0,0.55,7.4,2.2,0.106,12.0,3.05,0.63,0.22,0.9959
426,11.4,48.0,0.67,6.4,2.1,0.045,19.0,3.49,0.49,0.08,0.9949
1163,10.0,21.0,0.785,9.0,1.7,0.078,10.0,3.29,0.67,0.24,0.99692
1375,9.9,100.0,0.56,7.2,2.0,0.083,13.0,3.26,0.52,0.26,0.99586
608,10.4,65.0,0.65,10.1,5.1,0.11,11.0,3.32,0.64,0.37,1.0026
334,11.7,38.0,0.65,7.9,2.5,0.078,17.0,3.34,0.74,0.01,0.9963
1244,10.3,160.0,0.29,5.9,13.4,0.067,72.0,3.33,0.54,0.25,0.99721
855,11.7,14.0,0.735,7.6,2.5,0.071,10.0,3.51,0.71,0.02,0.99538
940,12.4,25.0,0.33,9.6,2.2,0.074,13.0,3.36,0.76,0.52,0.99509
1461,10.0,13.0,0.785,6.2,2.1,0.06,6.0,3.59,0.61,0.0,0.99664
1590,11.6,35.0,0.55,6.3,1.8,0.077,26.0,3.32,0.82,0.15,0.99314
243,9.2,24.0,0.21,15.0,2.2,0.075,10.0,3.07,0.84,0.44,1.00005
1260,9.3,56.0,0.635,8.6,1.8,0.403,19.0,3.02,1.15,0.68,0.99632
1275,9.5,81.0,0.715,8.0,2.3,0.075,13.0,3.24,0.54,0.22,0.99688
797,10.8,42.0,0.37,9.3,1.6,0.038,21.0,3.24,0.81,0.44,0.99526
1503,11.0,14.0,0.44,6.2,2.5,0.077,6.0,3.51,0.69,0.39,0.99555
1357,11.1,67.0,0.43,7.3,2.5,0.078,27.0,3.6,0.59,0.24,0.99648
892,9.3,18.0,0.45,10.1,1.9,0.082,10.0,3.22,0.65,0.23,0.99774
315,11.0,53.0,0.35,7.1,2.5,0.096,20.0,3.42,0.65,0.29,0.9962
1026,12.6,36.0,0.31,7.9,1.9,0.066,14.0,3.41,0.56,0.32,0.99364
975,9.4,72.0,0.41,7.2,2.1,0.083,35.0,3.44,0.52,0.3,0.997
503,10.9,24.0,0.26,10.5,1.9,0.078,6.0,3.18,1.04,0.47,0.9976
241,10.9,24.0,0.38,12.0,2.1,0.093,6.0,3.14,0.71,0.56,0.99925
45,13.1,65.0,0.52,4.6,2.1,0.054,8.0,3.9,0.56,0.15,0.9934
1397,9.9,104.0,0.59,7.3,2.0,0.08,17.0,3.28,0.52,0.26,0.99584
593,9.0,43.0,0.49,9.9,3.5,0.094,9.0,3.29,0.58,0.58,1.0004
1146,9.8,21.0,0.5,7.8,1.8,0.178,6.0,3.28,0.87,0.12,0.996
216,11.0,49.0,0.625,8.7,2.0,0.101,13.0,3.14,0.57,0.16,0.9962
776,10.3,48.0,0.765,6.9,2.4,0.243,5.5,3.4,0.6,0.18,0.99612
392,9.5,26.0,0.37,9.5,2.0,0.082,6.0,3.18,0.51,0.52,0.998
1251,9.8,60.0,0.58,7.5,2.2,0.077,27.0,3.28,0.59,0.14,0.9963
212,10.2,15.0,0.44,11.6,2.1,0.059,5.0,3.21,0.67,0.64,0.998
222,9.5,10.0,0.61,6.8,1.5,0.057,5.0,3.42,0.6,0.04,0.99525
1223,12.0,23.0,0.36,10.5,2.2,0.074,9.0,3.23,0.76,0.47,0.99638
1479,10.6,22.0,0.28,8.2,3.0,0.104,10.0,3.39,0.68,0.6,0.99828
406,10.8,28.0,0.44,9.8,2.5,0.063,9.0,3.24,0.65,0.47,0.9981
1128,10.0,89.0,0.43,10.0,2.7,0.095,28.0,3.22,0.68,0.33,0.9984
9,10.5,102.0,0.5,7.5,6.1,0.071,17.0,3.35,0.8,0.36,0.9978
1513,10.5,65.0,0.56,6.4,1.8,0.078,17.0,3.33,0.6,0.15,0.99294
943,9.7,45.0,0.5,9.8,2.3,0.094,10.0,3.24,0.6,0.34,0.99864
1490,12.4,18.0,0.22,7.1,1.8,0.039,8.0,3.39,0.56,0.49,0.99344
1175,11.5,59.0,0.61,6.5,2.2,0.095,48.0,3.61,0.7,0.0,0.99541
374,10.8,47.0,0.41,14.0,3.8,0.089,6.0,3.01,0.81,0.63,1.0014
387,9.6,42.0,0.66,8.3,1.9,0.079,17.0,3.31,0.54,0.15,0.9972
72,9.5,94.0,0.69,7.7,1.9,0.084,18.0,3.31,0.48,0.22,0.9961
1474,8.8,82.0,0.5,9.9,13.8,0.205,48.0,3.16,0.75,0.5,1.00242
1498,10.8,13.0,0.895,6.6,2.3,0.068,7.0,3.53,0.58,0.04,0.99582
1240,9.3,60.0,0.61,7.5,1.7,0.076,36.0,3.1,0.4,0.2,0.99494
708,11.6,35.0,0.545,7.8,2.5,0.068,11.0,3.34,0.61,0.12,0.996
850,9.5,22.0,0.43,9.3,1.9,0.085,9.0,3.28,0.55,0.44,0.99708
301,10.1,15.0,0.18,11.1,1.5,0.068,7.0,3.22,0.64,0.48,0.9973
1363,9.8,63.0,0.83,8.0,2.0,0.08,11.0,3.29,0.48,0.27,0.99652
191,9.8,49.0,0.37,6.4,1.9,0.074,21.0,3.57,0.62,0.25,0.9974
1523,10.4,61.0,0.48,6.8,2.0,0.076,29.0,3.34,0.6,0.25,0.9953
1388,10.3,49.0,0.64,6.6,6.1,0.083,7.0,3.35,0.68,0.31,0.99718
862,10.4,25.0,0.42,7.5,2.7,0.067,7.0,3.24,0.44,0.32,0.99628
451,9.1,26.0,0.37,8.4,1.8,0.413,9.0,3.06,1.06,0.53,0.9979
849,9.8,32.0,0.63,6.4,1.6,0.08,12.0,3.58,0.66,0.21,0.99689
201,9.3,145.0,0.37,8.8,2.1,0.097,39.0,3.04,1.03,0.48,0.9975
447,11.2,16.0,0.48,9.3,2.1,0.127,6.0,3.22,0.72,0.29,0.9968
207,9.3,120.0,0.57,7.8,1.8,0.069,26.0,3.29,0.53,0.31,0.99625
1160,11.1,20.0,0.36,10.6,2.3,0.087,6.0,3.14,0.72,0.57,0.99676
909,11.5,11.0,0.305,7.3,1.2,0.059,7.0,3.29,0.52,0.39,0.99331
1216,9.5,79.0,0.57,7.9,2.0,0.079,10.0,3.29,0.69,0.31,0.99677
497,11.1,113.0,0.34,7.2,2.5,0.09,43.0,3.32,0.79,0.32,0.9966
80,9.2,15.0,0.45,6.2,1.6,0.069,3.0,3.41,0.56,0.2,0.9958
1307,11.1,29.0,0.68,6.8,3.9,0.068,15.0,3.41,0.52,0.09,0.99524
918,11.0,79.0,0.36,8.4,2.2,0.081,32.0,3.3,0.72,0.32,0.9964
92,9.8,133.0,0.49,8.6,2.0,0.11,19.0,2.93,1.98,0.29,0.9972
791,9.6,130.0,0.64,8.8,2.9,0.084,25.0,3.23,0.54,0.17,0.99818
112,9.8,111.0,0.6,8.4,2.2,0.085,14.0,3.15,0.66,0.1,0.9964
795,10.2,60.0,0.89,10.8,2.6,0.132,7.0,2.99,1.18,0.3,0.99786
31,10.6,37.0,0.685,6.9,2.5,0.105,22.0,3.46,0.57,0.0,0.9966
734,9.3,39.0,0.56,7.7,2.0,0.075,9.0,3.48,0.62,0.2,0.9987
1444,11.1,92.0,0.67,7.3,2.2,0.072,31.0,3.32,0.68,0.02,0.99566
1286,12.4,31.0,0.16,7.1,2.5,0.068,17.0,3.35,0.54,0.44,0.99328
1183,9.3,61.0,0.66,6.8,1.6,0.07,16.0,3.29,0.6,0.07,0.99572
1439,11.0666666666667,92.0,0.67,7.3,2.2,0.072,31.0,3.32,0.68,0.02,0.99566
1414,9.6,15.0,0.32,10.0,2.2,0.077,3.0,3.2,0.78,0.59,0.9994
1110,10.0,14.0,0.53,8.3,1.4,0.07,6.0,3.25,0.64,0.0,0.99593
131,13.0,99.0,0.5,5.6,2.3,0.049,17.0,3.63,0.63,0.09,0.9937
118,10.9,56.0,0.55,8.8,2.2,0.119,14.0,3.21,0.6,0.04,0.9962
818,9.4,47.0,0.715,7.1,2.35,0.071,21.0,3.29,0.45,0.0,0.99632
1167,12.4,48.0,0.33,8.2,2.5,0.074,29.0,3.32,0.88,0.39,0.99528
764,9.5,44.0,0.68,9.1,2.8,0.093,11.0,3.31,0.55,0.11,0.99888
611,9.4,16.0,0.38,13.2,2.7,0.081,5.0,2.98,0.54,0.55,1.0006
529,9.4,33.0,0.63,9.9,2.4,0.077,6.0,3.09,0.57,0.24,0.9974
1295,9.5,77.5,0.63,6.6,4.3,0.093,51.0,3.2,0.45,0.0,0.99558
612,10.0,29.0,0.64,7.5,2.4,0.077,18.0,3.32,0.6,0.0,0.9965
641,9.5,68.0,0.59,9.5,2.3,0.071,21.0,3.46,0.63,0.44,0.9992
448,10.2,27.0,0.53,8.6,2.0,0.1,7.0,3.2,0.56,0.22,0.9967
1288,10.2,110.0,0.6,7.0,4.5,0.068,20.0,3.3,1.17,0.3,0.99914
242,9.8,109.0,0.58,7.7,1.8,0.102,28.0,3.08,0.49,0.1,0.99565
1214,10.4,9.0,0.33,10.2,1.9,0.081,6.0,3.1,0.48,0.46,0.99628
501,12.0,76.0,0.44,10.4,6.55,0.074,38.0,3.17,0.85,0.73,0.999
1114,13.6,80.0,0.4,5.0,4.3,0.046,29.0,3.49,0.66,0.5,0.9902
1139,9.5,86.0,0.51,8.2,2.0,0.079,16.0,3.34,0.64,0.24,0.99764
390,12.9,88.0,0.85,5.6,1.4,0.045,12.0,3.56,0.82,0.05,0.9924
1150,12.8,12.0,0.33,8.2,2.8,0.067,4.0,3.3,0.76,0.32,0.99473
1048,10.9,14.0,0.49,9.3,1.7,0.081,3.0,3.27,0.78,0.36,0.99702
852,9.7,122.0,0.42,8.0,2.5,0.08,26.0,3.22,1.07,0.32,0.99801
601,9.0,35.0,0.46,13.2,2.2,0.071,12.0,3.1,0.56,0.52,1.0006
829,11.1,24.0,0.61,5.9,2.1,0.071,16.0,3.56,0.77,0.08,0.99376
1511,9.8,27.0,0.69,7.1,2.1,0.068,19.0,3.44,0.67,0.04,0.99712
1389,9.7,111.0,0.48,6.7,2.2,0.08,36.0,3.1,0.53,0.02,0.99524
188,9.5,143.0,0.5,7.9,2.0,0.084,15.0,3.2,0.55,0.33,0.9968
1262,9.8,66.0,0.45,9.8,2.5,0.081,34.0,3.15,0.58,0.38,0.99726
1569,11.5,34.0,0.51,6.2,1.9,0.056,15.0,3.48,0.57,0.14,0.99396
369,12.0,18.0,0.27,9.4,2.4,0.074,6.0,3.2,1.13,0.53,0.9962
1231,10.8,90.0,0.815,7.8,2.6,0.074,48.0,3.38,0.62,0.01,0.99621
