alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
9.7,179.0,0.42,6.0,12.4,0.032,50.0,3.14,0.6,0.41,0.99622
9.1,229.0,0.19,7.4,12.8,0.053,48.5,3.14,0.49,0.3,0.9986
11.9,24.0,0.37,7.9,2.85,0.037,5.0,3.19,0.36,0.31,0.9911
12.2,150.0,0.3,5.1,2.3,0.048,40.0,3.29,0.46,0.3,0.98944
11.5,111.0,0.26,4.8,10.6,0.034,23.0,3.46,0.28,0.23,0.99274
10.0,135.0,0.51,7.9,2.6,0.049,13.0,3.09,0.51,0.34,0.99335
13.0,117.0,0.31,5.2,2.4,0.027,27.0,3.56,0.45,0.2,0.98886
11.2,174.0,0.3,8.1,8.1,0.037,26.0,3.1,0.3,0.49,0.9943
10.6,88.0,0.27,6.8,4.6,0.046,6.0,3.34,0.48,0.29,0.99458
10.4,81.0,0.18,8.2,1.1,0.033,28.0,3.0,0.68,0.49,0.9923
10.8,104.0,0.51,7.6,1.2,0.04,10.0,3.05,0.29,0.24,0.992
9.0,123.0,0.58,6.6,5.1,0.057,30.0,3.24,0.38,0.3,0.9949
12.0,121.0,0.21,6.8,6.3,0.032,40.0,3.18,0.53,0.4,0.99214
11.2,145.0,0.36,6.2,5.25,0.038,44.0,3.22,0.4,0.22,0.99184
10.1,60.0,0.26,6.4,1.7,0.179,5.0,3.09,0.54,0.4,0.9925
11.1,122.0,0.3,6.9,1.4,0.039,36.0,3.07,0.47,0.45,0.99059
11.6,147.0,0.28,6.0,4.1,0.046,50.0,3.27,0.56,0.27,0.99126
8.9,127.0,0.3,6.7,12.1,0.045,38.0,3.04,0.53,0.5,0.9974
11.4,117.0,0.29,7.0,0.9,0.041,20.0,3.21,0.5,0.33,0.99048
12.0,93.0,0.29,6.5,3.0,0.036,38.0,3.16,0.59,0.32,0.9906
12.5,101.0,0.22,5.7,1.3,0.027,26.0,3.35,0.38,0.28,0.98948
12.2,123.0,0.36,6.7,7.9,0.034,39.0,2.99,0.3,0.26,0.99119
12.6,122.0,0.32,7.0,7.1,0.027,37.0,3.15,0.6,0.27,0.99165
10.5,163.0,0.28,7.7,6.9,0.041,29.0,3.44,0.6,0.29,0.9952
10.4666666666667,168.0,0.335,4.9,1.3,0.036,69.0,3.47,0.46,0.14,0.99212
12.3,93.0,0.33,5.7,1.4,0.043,28.0,3.31,0.5,0.32,0.9897
9.4,68.0,0.32,6.8,2.2,0.044,15.0,3.17,0.39,0.21,0.9932
9.8,99.0,0.21,7.4,1.2,0.041,27.0,3.19,0.33,0.27,0.9927
11.4,142.0,0.21,8.5,9.25,0.034,73.0,3.05,0.37,0.26,0.9945
9.5,218.0,0.25,6.7,1.35,0.061,30.5,3.16,0.53,0.31,0.99388
12.1,92.0,0.39,6.6,9.2,0.036,10.0,3.07,0.35,0.28,0.99206
10.6,109.0,0.33,7.2,1.4,0.034,26.0,3.28,0.57,0.28,0.99246
9.9,166.0,0.24,6.7,9.4,0.04,49.0,3.12,0.61,0.41,0.9954
9.7,174.0,0.18,7.4,10.4,0.045,44.0,3.11,0.57,0.3,0.9966
10.6,153.0,0.16,6.0,6.7,0.043,43.0,3.63,0.46,0.3,0.9951
9.3,245.0,0.6,6.3,11.0,0.05,50.0,3.19,0.57,0.44,0.9972
11.7,83.0,0.2,7.8,1.4,0.036,25.0,3.03,0.46,0.2,0.99088
8.9,210.0,0.28,6.5,8.5,0.047,54.0,3.09,0.54,0.28,0.9962
11.5,37.0,0.35,7.2,12.4,0.051,6.0,3.13,0.39,0.34,0.9944
9.4,194.0,0.48,7.6,9.4,0.046,6.0,3.07,0.61,0.31,0.99714
10.9,132.0,0.18,7.9,5.9,0.058,31.0,3.25,0.52,0.36,0.995
9.2,188.0,0.57,7.0,8.3,0.094,23.0,3.4,0.47,0.1,0.9972
12.2,81.0,0.16,6.2,1.4,0.029,23.0,3.26,0.42,0.47,0.99
12.2,109.0,0.39,7.7,4.9,0.035,36.0,3.19,0.58,0.28,0.9918
9.5,120.0,0.29,6.4,1.0,0.06,15.0,3.06,0.41,0.57,0.9924
9.6,202.0,0.36,6.3,8.3,0.053,51.0,3.2,0.51,0.5,0.9955
10.0,240.0,0.33,8.6,11.8,0.059,42.0,3.17,0.52,0.34,0.99882
10.1,136.0,0.34,6.6,6.2,0.059,23.0,3.3,0.49,0.27,0.9957
11.7,128.0,0.31,6.9,1.6,0.032,23.0,3.37,0.47,0.34,0.9917
10.2,148.0,0.16,7.7,5.9,0.054,25.0,3.25,0.54,0.36,0.99578
10.6,66.0,0.36,6.5,1.1,0.031,13.0,3.1,0.46,0.32,0.9916
12.2,180.0,0.33,8.0,4.6,0.041,31.0,2.92,0.74,0.32,0.99184
8.8,135.0,0.51,7.3,3.3,0.09,7.0,3.01,0.52,0.26,0.9944
12.6,138.0,0.43,7.1,6.6,0.025,15.0,3.18,0.46,0.3,0.99126
10.0,117.0,0.23,8.2,1.3,0.042,39.0,2.99,0.36,0.37,0.9928
11.1,66.0,0.21,6.5,1.4,0.046,26.0,3.43,0.48,0.28,0.99199
10.5,102.0,0.36,7.1,1.3,0.046,25.0,3.24,0.33,0.56,0.9923
11.3,80.0,0.21,7.2,1.1,0.046,25.0,3.25,0.4,0.34,0.992
12.8,124.0,0.32,7.0,7.6,0.025,35.0,3.15,0.65,0.29,0.99162
11.5,105.0,0.2,6.0,1.8,0.03,30.0,3.31,0.47,0.24,0.9909
12.3,206.0,0.27,5.8,12.7,0.058,42.0,3.32,0.38,0.22,0.9946
8.7,168.0,0.16,7.4,13.7,0.056,33.0,2.9,0.44,0.3,0.99825
10.2,133.0,0.63,6.8,1.3,0.058,25.0,3.17,0.39,0.04,0.99271
10.5,118.0,0.22,8.4,8.9,0.024,17.0,2.99,0.34,0.3,0.99456
11.0,164.0,0.21,6.9,1.4,0.041,15.0,3.25,0.63,0.49,0.9927
11.7,131.0,0.36,7.0,10.05,0.045,37.0,3.09,0.33,0.32,0.99352
10.5,130.0,0.2,6.6,10.9,0.038,29.0,3.11,0.44,0.27,0.99496
10.8,135.0,0.2,6.3,1.7,0.052,36.0,3.8,0.66,0.24,0.99374
12.1,126.0,0.27,6.8,1.2,0.044,35.0,3.13,0.48,0.49,0.99
11.3,155.0,0.32,7.6,1.6,0.04,32.0,3.23,0.52,0.36,0.993
8.8,153.0,0.24,7.5,10.6,0.045,51.0,3.16,0.44,0.62,0.99779
10.4,179.0,0.21,6.3,13.9,0.046,68.0,3.36,0.5,0.33,0.9971
9.3,156.0,0.33,6.7,6.6,0.067,35.0,3.11,0.48,0.34,0.99542
11.5,168.0,0.2,7.2,1.6,0.028,13.0,3.17,1.06,0.28,0.99203
9.3,91.0,0.39,7.0,10.7,0.098,13.0,3.03,0.47,0.21,0.99657
10.8,147.0,0.21,6.3,11.7,0.048,49.0,3.22,0.38,0.29,0.99482
9.2,119.0,0.18,6.3,3.4,0.053,20.0,3.11,0.52,0.24,0.99373
13.5,75.0,0.2,6.2,5.4,0.028,21.0,3.36,0.41,0.33,0.99012
10.7,181.0,0.29,7.8,8.75,0.035,33.0,3.11,0.46,0.33,0.9962
11.5,150.0,0.21,5.6,4.4,0.027,37.0,3.3,0.31,0.24,0.991
9.7,197.0,0.34,6.2,7.5,0.034,40.0,3.14,0.6,0.28,0.99485
13.3,171.0,0.33,7.2,2.0,0.044,61.0,3.25,0.53,0.34,0.98947
9.9,186.0,0.3,6.9,1.3,0.053,24.0,3.29,0.54,0.3,0.99361
9.3,148.0,0.11,6.0,10.6,0.052,69.0,2.91,0.34,0.47,0.9958
8.8,122.0,0.24,6.7,10.3,0.079,37.0,3.02,0.45,0.32,0.99662
9.1,148.0,0.31,7.6,13.2,0.042,61.0,2.98,0.47,0.52,0.99839
8.7,238.0,0.29,7.3,13.0,0.043,46.0,3.06,0.41,0.3,0.9986
12.2,112.0,0.21,4.8,10.2,0.037,17.0,3.66,0.48,0.21,0.99324
9.2,107.0,0.26,7.1,14.45,0.074,29.0,2.96,0.42,0.32,0.998
9.4,188.0,0.24,6.8,7.45,0.043,59.0,3.2,0.5,0.37,0.99579
10.3,144.0,0.27,6.0,14.7,0.044,15.0,3.12,0.53,0.3,0.99666
10.0,98.0,0.2,7.3,1.4,0.045,21.0,3.15,0.46,0.44,0.9924
10.3,108.0,0.23,5.7,7.95,0.042,16.0,3.44,0.61,0.25,0.99486
11.1,94.0,0.19,6.7,1.0,0.022,22.0,3.23,0.57,0.34,0.9912
12.1,156.0,0.3,6.9,0.9,0.037,40.0,3.08,0.36,0.36,0.98968
9.2,121.0,0.3,6.6,1.2,0.034,17.0,3.13,0.36,0.24,0.9933
9.4,79.0,0.6,6.1,1.3,0.042,24.0,3.31,0.38,0.0,0.9937
10.4,116.0,0.31,6.9,12.7,0.038,33.0,3.04,0.65,0.33,0.9954
12.5,110.0,0.41,6.3,4.7,0.023,28.0,3.3,0.38,0.33,0.991
11.0,107.0,0.29,5.1,8.3,0.026,27.0,3.36,0.37,0.28,0.99308
9.2,237.0,0.2,7.3,19.9,0.039,69.0,3.1,0.48,0.29,1.00037
11.2,112.0,0.29,6.9,5.8,0.04,16.0,3.04,0.58,0.32,0.993
9.9,89.0,0.31,7.2,8.6,0.053,15.0,3.29,0.64,0.41,0.9976
12.9,155.0,0.29,5.0,5.7,0.035,54.0,3.27,0.34,0.54,0.98976
10.6,142.0,0.21,6.4,16.05,0.04,56.0,3.11,0.38,0.34,0.99678
11.1,123.0,0.3,8.1,1.1,0.041,49.0,2.99,0.45,0.31,0.9914
10.7,131.0,0.24,6.9,4.8,0.04,16.0,3.26,0.64,0.33,0.9936
10.3,188.0,0.22,6.8,8.9,0.046,82.0,3.3,0.44,0.29,0.9955
10.3,116.0,0.2,7.4,2.1,0.038,30.0,3.49,0.77,0.35,0.9949
9.3,222.0,0.67,6.3,12.6,0.052,57.0,3.17,0.52,0.48,0.9979
11.2,123.0,0.24,7.0,1.3,0.037,39.0,3.17,0.42,0.32,0.992
13.2,121.0,0.28,6.9,2.1,0.034,49.0,2.98,0.43,0.24,0.98882
9.6,105.0,0.115,7.2,6.8,0.056,26.0,3.44,0.4,0.3,0.9954
8.7,145.0,0.24,7.1,17.8,0.046,39.0,3.32,0.39,0.41,0.9998
11.0,135.0,0.27,7.2,1.6,0.05,35.0,2.94,0.46,0.42,0.992
11.0,102.0,0.24,7.2,2.2,0.037,37.0,3.27,0.64,0.29,0.992
9.1,133.0,0.56,6.6,8.9,0.034,27.0,3.2,0.51,0.22,0.99675
11.2,90.0,0.14,6.8,1.4,0.047,30.0,3.27,0.54,0.18,0.99164
9.3,117.0,0.33,6.4,1.6,0.054,25.0,3.36,0.5,0.24,0.9943
10.0,122.0,0.22,6.0,5.0,0.045,10.0,2.94,0.63,0.23,0.99261
9.9,167.0,0.24,7.8,2.1,0.058,14.0,3.21,0.55,0.38,0.994
12.0666666666667,79.0,0.35,6.2,3.9,0.041,22.0,3.1,0.59,0.29,0.99005
10.8,154.0,0.29,7.9,7.35,0.034,37.0,3.06,0.31,0.31,0.9938
11.0,164.0,0.27,7.5,7.0,0.036,45.0,3.03,0.33,0.36,0.9939
8.8,220.0,0.31,6.6,7.7,0.05,52.0,3.12,0.45,0.49,0.9964
11.0,90.0,0.3,6.5,2.0,0.044,34.0,3.37,0.68,0.32,0.99185
9.6,180.0,0.32,6.4,7.9,0.05,53.0,3.14,0.5,0.26,0.99514
11.9,73.0,0.15,5.8,5.9,0.036,7.0,3.2,0.43,0.31,0.99152
10.1,123.0,0.19,5.9,7.4,0.034,33.0,3.49,0.42,0.26,0.995
10.0,149.0,0.22,6.7,10.2,0.038,60.0,3.17,0.54,0.39,0.99725
12.6,68.0,0.22,5.8,1.3,0.036,25.0,3.24,0.35,0.29,0.98865
11.1,156.0,0.27,7.4,1.1,0.037,33.0,3.15,0.54,0.49,0.992
8.9,166.0,0.29,7.5,8.1,0.037,53.0,2.9,0.41,0.67,0.9966
9.7,188.0,0.3,7.4,8.2,0.055,49.0,3.52,0.58,0.49,0.9974
10.4,120.0,0.22,6.3,2.0,0.05,23.0,3.24,0.47,0.3,0.99204
11.2,111.0,0.2,8.0,1.0,0.057,24.0,3.09,0.32,0.44,0.99158
10.1,117.0,0.24,7.2,3.0,0.036,17.0,3.36,0.68,0.29,0.99411
12.1,104.0,0.225,6.4,2.2,0.115,29.0,3.24,0.58,0.48,0.9918
12.5,101.0,0.38,6.6,2.9,0.035,15.0,3.04,0.37,0.29,0.98916
11.8,94.0,0.32,5.8,4.75,0.033,23.0,3.42,0.42,0.38,0.991
10.1,124.0,0.26,5.7,17.8,0.059,23.0,3.3,0.5,0.24,0.99773
8.7,191.0,0.31,8.7,14.35,0.044,27.0,2.96,0.88,0.73,1.00013
13.5,107.0,0.5,5.4,5.0,0.028,12.0,3.48,0.88,0.13,0.99079
12.8,99.0,0.28,5.8,4.0,0.031,40.0,3.39,0.39,0.34,0.9896
9.0,154.0,0.17,7.2,17.55,0.05,33.0,2.94,0.43,0.28,0.99971
12.7,130.0,0.37,6.5,3.9,0.027,40.0,3.28,0.39,0.33,0.9906
11.7,41.0,0.34,7.2,12.6,0.048,7.0,3.19,0.4,0.34,0.9942
11.0,124.0,0.25,6.6,1.1,0.068,39.0,3.34,0.58,0.29,0.9914
10.2,77.0,0.57,6.8,2.2,0.04,15.0,3.32,0.74,0.29,0.9938
10.4,102.0,0.24,7.7,1.4,0.041,15.0,3.26,0.53,0.3,0.9929
10.2,198.0,0.265,6.7,8.6,0.048,54.0,3.25,0.41,0.22,0.9955
9.5,223.0,0.29,9.6,1.45,0.039,77.5,2.92,0.46,0.46,0.9944
10.6,166.0,0.27,8.9,10.7,0.029,19.5,3.13,0.48,0.34,0.99669
11.5,117.0,0.29,7.8,3.15,0.044,41.0,3.24,0.35,0.29,0.99153
10.5,154.0,0.27,7.8,1.6,0.046,27.0,3.05,0.45,0.34,0.9927
12.3,76.0,0.32,6.3,1.5,0.037,12.0,3.3,0.46,0.32,0.98993
8.9,203.0,0.27,6.8,8.1,0.034,55.0,3.19,0.52,0.22,0.9961
13.0,88.0,0.46,6.7,4.0,0.034,12.0,3.26,0.54,0.21,0.99016
9.0,170.0,0.39,7.6,11.7,0.084,55.0,2.91,0.51,0.46,0.99773
12.8,130.0,0.26,7.2,7.0,0.023,19.0,3.14,0.49,0.24,0.99176
11.0,109.0,0.31,7.6,5.8,0.036,23.0,3.34,0.54,0.27,0.99399
9.1,174.0,0.6,7.2,9.9,0.07,21.0,3.03,0.54,0.2,0.9971
11.7,140.0,0.31,5.3,10.5,0.031,53.0,3.34,0.46,0.38,0.99321
10.0,134.0,0.295,5.6,2.2,0.049,18.0,3.21,0.68,0.2,0.99378
10.2,185.0,1.005,9.9,1.4,0.046,34.0,3.02,0.49,0.46,0.9966
12.1,124.0,0.32,6.8,9.6,0.026,34.0,3.18,0.35,0.39,0.99286
8.9,212.5,0.2,7.6,14.2,0.056,53.0,3.14,0.46,0.3,0.999
8.5,152.0,0.2,6.3,5.9,0.034,35.0,3.47,0.4,0.3,0.99642
10.6,169.0,0.25,7.7,2.5,0.047,31.0,3.07,0.57,0.49,0.99252
9.4,118.0,0.235,5.0,11.75,0.03,34.0,3.07,0.5,0.27,0.9954
12.4,105.0,0.16,6.6,1.8,0.042,26.0,3.19,0.75,0.35,0.98962
9.6,179.0,0.26,6.8,16.95,0.056,48.0,3.45,0.4,0.29,0.9998
13.5,128.0,0.44,7.1,2.7,0.041,35.0,3.07,0.43,0.37,0.9896
9.3,199.0,0.18,7.7,1.2,0.046,49.0,3.03,0.38,0.3,0.99413
12.0,151.0,0.31,6.7,4.9,0.031,20.0,3.36,0.82,0.31,0.9926
9.9,99.0,0.21,8.2,1.4,0.041,11.0,3.17,0.57,0.48,0.9958
9.5,133.0,0.28,9.2,3.2,0.058,39.0,3.14,0.58,0.46,0.996
10.3,91.0,0.18,7.5,1.9,0.054,23.0,3.27,0.45,0.39,0.9941
9.1,206.0,0.31,7.4,8.6,0.048,47.0,3.26,0.36,0.26,0.9964
9.4,101.0,0.21,7.0,8.0,0.057,19.0,2.99,0.59,0.34,0.9954
12.4,124.0,0.33,6.7,7.5,0.036,39.0,2.99,0.32,0.34,0.99123
9.6,206.0,0.25,6.7,8.6,0.037,63.0,3.18,0.5,0.36,0.99553
10.9,113.0,0.18,6.8,9.8,0.039,29.0,3.11,0.45,0.28,0.99406
11.1,131.0,0.2,7.5,1.2,0.05,26.0,3.19,0.52,0.41,0.99133
12.3,150.0,0.3,6.8,20.3,0.037,45.0,3.04,0.38,0.26,0.99727
9.5,186.0,0.23,8.0,9.2,0.044,53.0,3.09,0.56,0.35,0.997
10.4,131.0,0.22,5.8,1.1,0.047,36.0,3.26,0.45,0.3,0.992
12.7,121.0,0.48,6.7,1.4,0.021,22.0,3.15,0.53,0.32,0.9889
10.0,214.0,0.26,7.2,12.7,0.036,49.0,3.41,0.5,0.26,0.9986
14.0,88.0,0.39,5.8,7.5,0.027,12.0,3.38,0.45,0.47,0.9907
9.0,234.0,0.24,8.5,15.2,0.057,40.0,3.02,0.66,0.47,1.0005
8.7,159.0,0.27,7.5,11.95,0.04,51.0,2.98,0.44,0.79,0.99839
9.5,90.0,0.23,7.0,7.2,0.041,21.0,3.22,0.55,0.26,0.99509
9.1,207.0,0.23,6.0,9.7,0.048,101.0,3.05,0.3,0.15,0.99571
10.9,131.0,0.38,7.5,5.0,0.045,30.0,3.32,0.44,0.33,0.9942
9.9,127.0,0.27,7.8,1.8,0.05,21.0,3.15,0.44,0.28,0.9934
13.4,74.0,0.22,6.1,1.8,0.16,34.0,3.19,0.33,0.46,0.9884
11.4,93.0,0.28,8.2,1.8,0.031,30.0,3.09,0.39,0.42,0.9917
11.2,118.0,0.28,7.1,2.8,0.039,50.0,3.06,0.59,0.26,0.9908
10.2,146.0,0.29,7.6,4.4,0.051,26.0,3.16,0.39,0.29,0.9939
10.7,135.0,0.25,6.9,5.2,0.024,36.0,3.16,0.72,0.26,0.9948
10.8,111.0,0.17,7.0,5.7,0.025,29.0,3.2,0.49,0.37,0.9938
10.0,99.0,0.22,7.8,10.3,0.059,28.0,3.12,0.47,0.38,0.9967
10.7,128.0,0.17,7.8,1.7,0.029,39.0,3.37,0.41,0.23,0.99272
10.15,123.0,0.185,5.2,1.0,0.03,47.0,3.55,0.44,0.22,0.99218
12.1,101.0,0.28,6.1,1.5,0.03,25.0,3.03,0.41,0.26,0.98894
9.2,206.0,0.27,6.4,7.3,0.046,53.0,3.24,0.43,0.49,0.9956
13.6,95.0,0.355,6.2,2.0,0.046,31.0,3.06,0.46,0.35,0.98822
11.4,87.0,0.35,7.0,6.5,0.028,27.0,3.4,0.42,0.3,0.9936
10.8,113.0,0.23,7.0,1.4,0.036,31.0,3.16,0.48,0.35,0.9912
9.9,210.0,0.3,6.4,2.25,0.038,8.0,3.2,0.62,0.3,0.9937
8.8,170.0,0.23,7.6,12.9,0.033,54.0,3.0,0.53,0.64,0.998
9.7,77.0,0.47,7.1,6.0,0.044,11.0,3.21,0.56,0.24,0.9956
10.1,196.0,0.25,7.7,7.8,0.038,67.0,3.1,0.5,0.3,0.99555
10.4,203.0,0.3,6.9,4.5,0.054,31.0,3.4,0.57,0.36,0.99513
10.4,126.0,0.46,6.9,0.9,0.054,5.0,3.1,0.42,0.2,0.992
11.0,139.0,0.24,6.9,20.8,0.031,40.0,3.2,0.33,0.36,0.9975
12.0,123.0,0.68,6.1,1.4,0.037,32.0,3.24,0.45,0.52,0.99022
9.1,164.5,0.26,7.3,12.7,0.047,60.5,3.06,0.45,0.53,0.9984
8.8,169.0,0.23,8.7,13.4,0.044,35.0,3.12,0.47,0.32,0.99975
12.7,72.0,0.23,6.6,1.5,0.041,8.0,3.22,0.39,0.32,0.98949
9.8,174.0,0.25,6.7,1.2,0.041,81.0,3.14,0.42,0.13,0.992
11.0,101.0,0.21,6.4,5.9,0.047,29.0,3.15,0.4,0.28,0.99278
10.6,57.0,0.26,5.7,10.4,0.02,7.0,3.39,0.37,0.25,0.994
12.0,152.0,0.38,6.9,8.5,0.044,36.0,3.38,0.35,0.32,0.9932
12.5,89.0,0.27,6.8,7.8,0.038,26.0,3.24,0.34,0.28,0.9915
13.4,86.0,0.37,6.2,6.1,0.032,19.0,3.04,0.26,0.24,0.98934
12.8,121.0,0.25,6.6,2.9,0.034,38.0,3.19,0.4,0.35,0.99008
10.9,124.0,0.39,7.1,9.9,0.037,29.0,3.07,0.42,0.3,0.99414
11.6,102.0,0.22,6.7,1.6,0.028,24.0,3.29,0.59,0.37,0.9913
8.9,221.0,0.39,6.6,11.9,0.057,51.0,3.26,0.51,0.39,0.99851
12.2,135.0,0.3,6.4,4.4,0.055,17.0,3.23,0.44,0.27,0.9925
9.9,156.0,0.25,6.7,13.5,0.06,50.0,3.39,0.46,0.26,0.99784
9.8,175.0,0.3,7.6,2.2,0.054,29.0,3.19,0.53,0.4,0.99445
9.6,136.0,0.32,6.2,7.0,0.045,30.0,3.18,0.47,0.16,0.9949
11.0,366.5,0.55,8.6,15.55,0.057,35.5,3.04,0.63,0.35,1.0001
11.3,93.0,0.15,7.8,1.1,0.035,31.0,3.07,0.72,0.34,0.99096
9.6,171.0,0.29,6.9,7.8,0.046,52.0,3.12,0.51,0.41,0.99537
10.9,181.0,0.39,7.8,9.9,0.059,33.0,3.04,0.42,0.26,0.9955
12.4,79.0,0.33,6.6,2.0,0.027,14.0,3.27,0.63,0.41,0.99063
12.2,102.0,0.24,7.0,3.0,0.035,36.0,3.18,0.43,0.34,0.9905
11.4,114.0,0.31,6.9,1.6,0.036,34.0,3.19,0.45,0.32,0.99068
9.2,179.0,0.28,6.4,7.1,0.048,49.0,3.15,0.48,0.44,0.99528
10.9,115.0,0.18,6.7,10.2,0.039,29.0,3.11,0.45,0.28,0.99469
9.2,184.0,0.24,8.0,17.45,0.056,43.0,3.05,0.5,0.3,0.9997
8.8,164.0,0.34,6.0,15.9,0.046,26.0,3.14,0.5,0.66,0.9979
10.1,119.0,0.39,7.0,1.0,0.048,8.0,3.0,0.31,0.24,0.9923
13.7,116.0,0.49,5.6,4.5,0.039,17.0,3.42,0.9,0.13,0.9907
11.0,57.0,0.18,8.3,1.1,0.033,20.0,3.02,0.51,0.3,0.99109
9.5,189.0,0.36,6.9,13.55,0.048,51.0,3.0,0.6,0.28,0.99782
13.0,122.0,0.48,6.7,2.9,0.03,28.0,3.13,0.4,0.49,0.98926
8.7,135.0,0.16,7.4,15.5,0.05,25.0,2.9,0.43,0.27,0.9984
9.9,163.0,0.33,4.8,6.5,0.028,34.0,3.35,0.61,0.0,0.9937
13.6,95.0,0.38,7.7,10.8,0.03,28.0,2.93,0.41,0.23,0.99164
9.9,167.0,0.35,5.5,1.1,0.045,14.0,3.34,0.68,0.35,0.992
11.0,103.0,0.2,7.0,8.8,0.037,31.0,3.13,0.49,0.35,0.99388
9.2,123.0,0.21,6.9,1.1,0.137,52.0,3.03,0.39,0.81,0.9932
12.3,169.0,0.2,5.8,1.4,0.033,65.0,3.59,0.56,0.24,0.99043
9.5,197.0,0.255,6.1,12.3,0.045,53.0,3.24,0.54,0.44,0.9967
9.2,195.0,0.38,6.2,7.4,0.095,28.0,3.53,0.71,0.18,0.99773
9.8,98.0,0.12,7.0,10.3,0.039,41.0,3.19,0.38,0.29,0.99564
13.4,55.0,0.28,6.9,1.4,0.016,6.0,3.16,0.4,0.41,0.98876
9.4,226.0,0.39,6.6,9.7,0.053,49.0,3.3,0.57,0.38,0.99787
10.2,100.0,0.3,7.1,1.6,0.045,31.0,3.4,0.59,0.49,0.9942
9.3,228.0,0.59,8.0,17.35,0.038,61.0,2.95,0.75,0.71,1.0
10.7,158.0,0.28,5.8,4.2,0.044,52.0,3.35,0.44,0.28,0.992
11.0,97.0,0.35,6.3,5.7,0.035,8.0,3.27,0.41,0.3,0.9927
9.6,140.0,0.28,7.3,12.7,0.04,38.0,3.3,0.79,0.36,0.998
11.0,112.0,0.21,6.7,1.4,0.049,36.0,3.02,0.5,0.34,0.99091
13.4,93.0,0.33,6.9,4.2,0.04,21.0,3.18,0.48,0.31,0.9896
12.8,127.0,0.32,4.4,4.3,0.03,31.0,3.46,0.36,0.39,0.98904
10.3,140.0,0.21,7.8,11.9,0.039,55.0,3.02,0.31,0.34,0.9959
10.6,188.0,0.18,6.8,9.8,0.058,64.0,3.13,0.51,0.24,0.9952
11.5,54.0,0.14,7.1,1.0,0.104,20.0,3.19,0.64,0.33,0.99057
